# schema	kj.music.inventory/1
# root	J:\jubilujah.com\music\children\party-giggles
# albums	30
# tracks	379
# bytes	1406776400
# albums_with_duplicate_track_numbers	2
# duplicate	IX429EN-fireflies-flourish-bright	1,2,3,4,5,6,7,8,9,10,11,12
# duplicate	IX430EN-nala-the-donkey	4,5,6,8,9
album	track	file	bytes	sha256
IX403EN-gator-s-jazzy-jam	12	12_ambassadors-in-brass.mp3	4179603	653947b99a433ab101f6e8721e8fbdb8d3437de1b6f5bbb1d31f0eca81326044
IX404EN-elephant-s-jungle-jamboree	1	01_big-ears-big-faith.mp3	4071121	7bafd556c99a8a16110f97805387c64c9de687bb235115abc390e646f3f618b5
IX404EN-elephant-s-jungle-jamboree	2	02_stomp-out-doubt.mp3	4960747	8ca0326b8180441b7dc3d01d95dac6d28b5753c31996299987ae16abc13a791c
IX404EN-elephant-s-jungle-jamboree	3	03_swingin-with-the-savior.mp3	4748963	74a6fefe1604be8eeabbaaa7b865c576a88fcf6d1442d3d034264d4c7b67046d
IX404EN-elephant-s-jungle-jamboree	4	04_roar-for-the-lord.mp3	4032671	eb3ecda62a0f228970c92d8a68cca99248df602577a1a400e615d5394ccbecac
IX404EN-elephant-s-jungle-jamboree	5	05_earsby-hears-and-praises.mp3	4646077	71a49484a71d7ac2e0de12cecb4f0f48f1659621e000156fde5595bf1f644a0b
IX404EN-elephant-s-jungle-jamboree	6	06_earsbys-echo-in-the-jungle.mp3	3480761	5669137a095077814616b713ce8659e7eb28390539f267fe414f714de12e3d2d
IX404EN-elephant-s-jungle-jamboree	7	07_ears-up-march-out.mp3	3091561	2c8ffb87fcf5d5cce7894b7e44dd12b468c9719a81b108a15b34b799bf494618
IX404EN-elephant-s-jungle-jamboree	8	08_yes-lord-i-hear-you.mp3	3709423	5115a58e738b1a53d9f83e8bff9f713f68696df294ab15608289ad1a3613c5e8
IX404EN-elephant-s-jungle-jamboree	9	09_the-drumbeat-says-go.mp3	3656933	043722934c7ea07307b84a2c9789564db0d4ed45a07aedb1a8e9f1c943c03461
IX404EN-elephant-s-jungle-jamboree	10	10_follow-the-elephants-stampede.mp3	3789169	3188e1048eb28e98867aed1b8b0c7fb80f522acfee1842ba5aedaf5ddcf11fe4
IX404EN-elephant-s-jungle-jamboree	11	11_boom-boom-bam-bam.mp3	3211919	1d3595cdf4fec7613793b52e1bec01e1a2014216305820b3ab8e7260d7c2633f
IX404EN-elephant-s-jungle-jamboree	12	12_last-call-of-the-wild.mp3	3352181	340fe4275e0fb64417158d8ff23b2bc858d8fe47c74f4d4369c1ef0a1d3c3931
IX405EN-peacock-s-palace-parade	1	01_bow-like-a-peacock.mp3	3977495	b94b4f7959041302a473b4f532bd21de565c8d7110587f6a3a09bc9473058b06
IX405EN-peacock-s-palace-parade	2	02_feathers-in-the-mirror.mp3	3592711	42f4f396821a6ad7c51b701da704c5e8d1aa9a816ad187e66aa865056688a8b9
IX405EN-peacock-s-palace-parade	3	03_rickshaw-praise-parade.mp3	3349279	ea383b3b37ad899fec2e1a35a8ae32a4911b248d91b55f38e77291940bc33288
IX405EN-peacock-s-palace-parade	4	04_turban-tango-twirl.mp3	4674623	b66d4c519059c75202220ef962db8409344752905d0b79806dbda802e275ddae
IX405EN-peacock-s-palace-parade	5	05_curry-praise-cravings.mp3	4139141	259d8a2ccde54e16b739792047c3a95d17533660640e24cd27c604e39769cbe7
IX405EN-peacock-s-palace-parade	6	06_who-took-my-colors.mp3	5154721	a9b084bc68b7a7d10755e54cdaf97a9ecf150383163ddd2435288acb5074d524
IX405EN-peacock-s-palace-parade	7	07_peacock-popcorn-praise.mp3	4051879	7e3f17df1a234debc6c500378231b8f35f5c8348a909b1caa271bf376407b3c1
IX405EN-peacock-s-palace-parade	8	08_peacah-lujah-polka.mp3	4021731	d3ed2b551e14fb21467cd076ad26a8ae8ee1af2a789389af4667bceab67d5adf
IX405EN-peacock-s-palace-parade	9	09_saree-swirl-celebration.mp3	3624537	2d1106f7eaebc8c8590b0cdcaec4e5d2fefe20d31308ab5688dfd4a622629455
IX405EN-peacock-s-palace-parade	10	10_paneer-polka-praise.mp3	4333057	6423da003e340504b10f7f8b4f909bfa82bb50a48b8e669f3d2cda6d7a2430e8
IX405EN-peacock-s-palace-parade	11	11_paint-the-world-with-praise.mp3	3946577	76920c1cc0f94b45af2ba8c8a48ed3ec74e1b18239c2a36c315af772f0e4640d
IX405EN-peacock-s-palace-parade	12	12_peacocks-palace-palooza.mp3	2550995	75d3186462fe372488eaf8c5185161ddffa225ee6b6a7de86c8c5e4f8af787ac
IX406EN-tiki-s-pirate-fiesta	1	01_blessed-to-be-a-blessing.mp3	3623243	28fb115330f855987f0b597296b17ece0a63b587493037dd39a56e7c0c5498ba
